QTD_ITENS;50
CAPACIDADE;552
ITEM;PESO;VALOR
0;26;403
1;22;370
2;22;423
3;38;583
4;25;439
5;51;526
6;53;710
7;28;306
8;38;745
9;57;1070
10;46;573
11;41;690
12;53;570
13;20;276
14;53;705
15;38;637
16;57;735
17;31;376
18;23;238
19;60;1037
20;34;435
21;34;418
22;42;473
23;46;666
24;27;289
25;21;414
26;42;623
27;32;361
28;50;564
29;42;745
30;45;814
31;38;438
32;46;901
33;25;316
34;50;916
35;56;820
36;45;496
37;43;750
38;34;389
39;21;296
40;23;370
41;44;692
42;25;329
43;48;865
44;38;412
45;36;567
46;31;325
47;51;588
48;57;1015
49;49;573
